City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,soio,-6.1349,12.3689,23.6,86,26,3.21,AO,1695762320
149,nelson bay,-32.7167,152.15,18.33,98,29,2.68,AU,1695762321
150,tionk essil,12.7856,-16.5217,28.03,87,75,2.65,SN,1695762321
151,jamaame,0.0697,42.745,24.8,85,100,4.57,SO,1695762322
152,uvinza,-5.1036,30.3911,25.46,47,81,1.38,TZ,1695762322
153,lupane,-18.9315,27.807,23.0,36,80,0.91,ZW,1695762322
154,badger,64.8,-147.5333,9.52,69,28,0.68,US,1695762209
155,quellon,-43.1167,-73.6167,8.31,82,100,6.68,CL,1695762322
156,mount darwin,-16.7725,31.5838,21.99,43,4,1.37,ZW,1695762323
157,lhasa,29.65,91.1,9.16,68,9,1.55,CN,1695762323
158,togur,58.3631,82.8265,3.41,81,7,4.25,RU,1695762323
159,katsuren-haebaru,26.3369,127.8719,27.01,88,10,3.96,JP,1695762324
160,luwingu,-10.2621,29.9271,22.22,32,6,1.23,ZM,1695762324
161,kachug,53.9606,105.8817,6.37,94,7,1.24,RU,1695762324
162,kavaratti,10.5669,72.642,28.48,75,100,5.69,IN,1695762214
163,dzhambeyty,50.2536,52.595,17.32,60,0,3.71,KZ,1695762235
164,kuanda,56.3161,116.0806,6.01,86,42,1.09,RU,1695762324
165,revda,56.801,59.9303,6.05,92,55,1.55,RU,1695762325
166,saint-pierre,-21.3393,55.4781,19.82,64,0,3.09,RE,1695762325
167,port alfred,-33.5906,26.891,13.43,91,100,1.79,ZA,1695762218
168,sumoto,34.35,134.9,25.02,96,6,3.36,JP,1695762326
169,weno,7.4515,151.8468,28.97,84,75,3.09,FM,1695762326
170,bardai,11.65,7.2333,26.41,57,93,1.24,NG,1695762326
171,invercargill,-46.4,168.35,7.79,81,35,2.24,NZ,1695762043
172,kenai,60.5544,-151.2583,10.64,55,0,0.0,US,1695762327
173,tralee,52.2704,-9.7026,10.18,93,94,2.33,IE,1695762327
174,kone,-21.0595,164.8658,20.1,59,53,1.88,NC,1695762327
175,tagab,34.855,69.6492,18.01,42,0,1.34,AF,1695762328
176,kajaani,64.2273,27.7285,12.03,87,75,3.09,FI,1695762049
177,shendi,16.6915,33.4341,34.96,34,57,3.8,SD,1695762328
178,camana,-16.6228,-72.7111,19.41,76,79,4.41,PE,1695762328
179,port-vila,-17.7338,168.3219,23.78,60,20,4.63,VU,1695762329
180,kharabali,47.4196,47.2568,16.59,40,2,1.29,RU,1695762329
181,yeed,4.55,43.0333,26.02,60,17,8.34,SO,1695762329
182,happy valley-goose bay,53.3168,-60.3315,11.17,76,100,1.54,CA,1695762226
183,nemuro,43.3236,145.575,16.38,90,96,0.02,JP,1695762227
184,ebon,4.582,168.6964,28.95,76,100,5.87,MH,1695762330
185,matoury,4.8483,-52.3317,28.98,79,0,1.54,GF,1695762330
186,sinabang,2.4803,96.3801,25.77,81,72,3.06,ID,1695762330
187,kabarnet,0.4919,35.743,14.12,88,90,1.81,KE,1695762330
188,port elizabeth,-33.918,25.5701,15.17,69,40,3.6,ZA,1695762210
189,saldanha,-33.0117,17.9442,13.03,84,0,6.37,ZA,1695762331
190,margaret river,-33.95,115.0667,11.28,68,0,3.41,AU,1695762210
191,tazacorte,28.629,-17.9293,24.54,94,75,4.63,ES,1695762245
192,kokpekty,48.75,82.4,3.5,71,1,2.18,KZ,1695762332
193,juneau,58.3019,-134.4197,11.17,97,100,0.0,US,1695762332
194,tuy hoa,13.0833,109.3,25.32,87,93,3.62,VN,1695762332
195,jaguaribe,-5.8906,-38.6219,33.28,31,18,4.33,BR,1695762332
196,sur,22.5667,59.5289,27.1,60,100,3.15,OM,1695762333
197,dunedin,-45.8742,170.5036,8.78,76,100,1.34,NZ,1695762333
198,susuman,62.7833,148.1667,-4.13,85,62,0.73,RU,1695762333
199,east london,-33.0153,27.9116,14.51,77,100,10.23,ZA,1695762241
200,la'ie,21.6477,-157.9253,28.98,71,28,2.68,US,1695762333
201,mertoyudan,-7.52,110.2264,18.9,92,93,0.5,ID,1695762334
202,al kharijah,25.4514,30.5464,29.33,19,0,3.54,EG,1695762334
203,oltinko'l,40.8011,72.1634,18.08,25,0,1.78,UZ,1695762335
204,aasiaat,68.7098,-52.8699,-2.43,80,96,5.31,GL,1695762238
205,meulaboh,4.1363,96.1285,25.14,87,97,2.27,ID,1695762335
206,derzhavinsk,51.1,66.3167,15.03,76,87,6.18,KZ,1695762335
207,kapuskasing,49.4169,-82.4331,21.05,37,20,3.09,CA,1695762122
208,san bartolo,19.1833,-100.05,21.27,44,17,0.49,MX,1695762336
209,nadym,65.5333,72.5167,3.41,86,100,2.99,RU,1695762336
210,banda aceh,5.5577,95.3222,26.07,82,100,6.69,ID,1695762336
211,san sebastian de la gomera,28.0916,-17.1133,27.87,83,20,3.09,ES,1695762337
212,iglino,54.8324,56.4126,7.05,79,17,1.94,RU,1695762337
213,mili,6.0815,171.735,28.98,74,79,6.68,MH,1695762337
214,toliara,-23.35,43.6667,22.39,90,64,1.87,MG,1695762338
215,sao gabriel da cachoeira,-0.1303,-67.0892,31.7,60,75,0.83,BR,1695762338
216,yuncheng,35.0231,110.9928,17.26,92,100,0.79,CN,1695762338
217,atamyrat,37.8357,65.2106,18.24,27,12,2.43,TM,1695762338
218,chateaubelair,13.2833,-61.25,29.29,74,20,3.09,VC,1695762338
219,hithadhoo,-0.6,73.0833,27.65,78,9,6.28,MV,1695762241
